workspace,status_code,path,staged,unstaged,untracked,category,severity,action,allowed_in_v1_5_package,reason
clean_worktree, M,docs/v1_5_flow_contract/V1_5_FINAL_STRUCTURE_AND_FLOW.md,False,True,False,clean_tracked_change_review_required,review,review_scope_before_stage_or_commit,True,Tracked clean-worktree changes may be a work-in-progress package and need scoped review.
clean_worktree, M,tests/test_v1_5_entrypoint_inventory.py,False,True,False,clean_tracked_change_review_required,review,review_scope_before_stage_or_commit,True,Tracked clean-worktree changes may be a work-in-progress package and need scoped review.
clean_worktree,??,_handoff/V1_5_CO2_QUEUE_FORMAL_ROUTE_READINESS_GATE_REVIEW_20260627.md,False,False,True,clean_handoff_evidence_retained,info,keep_untracked_do_not_stage_into_code_package,False,Historical V1.5 evidence is retained for traceability but must not be bundled with code changes.
clean_worktree,??,_handoff/V1_5_INITIALIZATION_DUAL_ALGORITHM_SOP_20260627.md,False,False,True,clean_handoff_evidence_retained,info,keep_untracked_do_not_stage_into_code_package,False,Historical V1.5 evidence is retained for traceability but must not be bundled with code changes.
clean_worktree,??,_handoff/V1_5_SENCO78_NEUTRAL_INITIALIZATION_POLICY_20260627.md,False,False,True,clean_handoff_evidence_retained,info,keep_untracked_do_not_stage_into_code_package,False,Historical V1.5 evidence is retained for traceability but must not be bundled with code changes.
clean_worktree,??,_handoff/new_algo_001_init_20260627/,False,False,True,clean_handoff_evidence_retained,info,keep_untracked_do_not_stage_into_code_package,False,Historical V1.5 evidence is retained for traceability but must not be bundled with code changes.
clean_worktree,??,_handoff/new_algorithm_device_preflight/,False,False,True,clean_handoff_evidence_retained,info,keep_untracked_do_not_stage_into_code_package,False,Historical V1.5 evidence is retained for traceability but must not be bundled with code changes.
clean_worktree,??,_handoff/p001_init_ready_after_pressure_r1/,False,False,True,clean_handoff_evidence_retained,info,keep_untracked_do_not_stage_into_code_package,False,Historical V1.5 evidence is retained for traceability but must not be bundled with code changes.
clean_worktree,??,_handoff/p001_pressure_completion_r1/,False,False,True,clean_handoff_evidence_retained,info,keep_untracked_do_not_stage_into_code_package,False,Historical V1.5 evidence is retained for traceability but must not be bundled with code changes.
clean_worktree,??,_handoff/readonly_com41_052_coeff_check_20260629/,False,False,True,clean_handoff_evidence_retained,info,keep_untracked_do_not_stage_into_code_package,False,Historical V1.5 evidence is retained for traceability but must not be bundled with code changes.
clean_worktree,??,_handoff/v1_5_program_cleanup_20260628/,False,False,True,clean_handoff_evidence_retained,info,keep_untracked_do_not_stage_into_code_package,False,Historical V1.5 evidence is retained for traceability but must not be bundled with code changes.
